reviewerName,expertiseAreas
J. Hinchcliffe,"intestinal epithelium, gastrointestinal epithelium, ventromedial prefrontal cortex, betacoronavirus, coronavirus, organoid, coronaviridae"
Dimitrios A. Garyfallos,"polymyxin, polymyxin b, frog skin"
Jing Zhang,"polymyxin, polymyxin b, neoadjuvant therapy, frog skin"
Franciele Martini,"polymyxin, polymyxin b, frontier, translational research, frog skin"
G. Fuertes,"activation function, paillier cryptosystem, secure two-party computation"
Shanwei Liu,"activation function, paillier cryptosystem"
E. Hernandez,"salt metathesis reaction, grubbs' catalyst, living polymerization, romp, ring-opening metathesis polymerisation, norbornene"
P. Xin,"salt metathesis reaction, grubbs' catalyst, living polymerization, chromatographic, personalized medicine, molecular recognition, romp, ring-opening metathesis polymerisation, norbornene, structural isomer"
G. Mellon,"salt metathesis reaction, grubbs' catalyst, living polymerization, kernel (algebra), romp, ring-opening metathesis polymerisation, norbornene"
V. Cristea,"regular grid, big data, enabling, ellipse"
Hanchen Wang,"regular grid, petabyte, ellipse"
Lea Reis,"regular grid, real-time bidding, ebidding, tender offer, combinatorial auction, ensemble learning, majority rule, ellipse, generality"
Mohammad Hijji,"load sharing, pareto optimal, bargaining problem"
S. Schumacher,"load sharing, pareto optimal, bargaining problem, big data, python"
Yutaka Ikeda,"load sharing, pareto optimal, bargaining problem"
N. Schork,"under-five, overcrowding, stratified sampling, bacterial pneumonia, respiratory tract, cross-sectional study, viral pneumonia"
S. Wan,"under-five, overcrowding, stratified sampling, cross-sectional study"
H. Irving,"under-five, overcrowding, stratified sampling, cross-sectional study"
Koji Okamoto,"business logic, oxidizing agent, commodity chemicals, data processing, stream processing, data processing system, chordate, environmentally friendly"
H. Ilhan,"business logic, data processing, stream processing, data processing system"
Shahnawaz Ahmad,"business logic, data processing, stream processing, data processing system"
P. Chow,"dosage compensation, w chromosome, genomic"
T. Harlan,"dosage compensation, w chromosome, genomic"
X. Ojanen,"dosage compensation, w chromosome, genomic"
B. Elsworth,monensin
Freddy Monteiro,monensin
K. Matthews,"monensin, profiling (computer programming)"
L. Rojas,immune status
T. Lester,"immune status, community engagement, genomic"
Céline Freton,"immune status, visible spectrum"
Sih‐Han Liao,"cued speech, value (mathematics), affect, odds, delay discounting"
Kunal Bhakhri,"cued speech, marchantia polymorpha, diamino acid, halotolerance, arabinose, value (mathematics), affect, genomic, odds, delay discounting, genomic dna"
Z. Štefanić,"beck anxiety inventory, alcohol dependence"
R. Christofferson,"beck anxiety inventory, alcohol dependence, disease, narrative review"
Yang Zhao,"artificial noise, covert, interpretability, benchmark (surveying), benchmarking, computation offloading"
M. Haque,"artificial noise, covert, computation offloading"
P. Riesz,"candida glabrata, petal, silique, antifungal drugs, ectopic expression, brassinosteroid"
H. Kaneko,"candida glabrata, antifungal drugs"
C. Bonod-Bidaud,"macroevolution, el tor, premature newborn, cholera toxin, flowering plant, bronchopulmonary dysplasia, necrotizing enterocolitis, cholera, genomic, diagnosis, plant evolution"
R. Singer,"macroevolution, flowering plant, identification, genomic, transfer of learning, plant evolution"
A. Borini,"macroevolution, flowering plant, genomic, plant evolution"
Yun Jiang,"proinsulin, dynorphin, proenkephalin, pentapeptide repeat, genomic, health, endorphins, proopiomelanocortin"
M. Heravi,"proinsulin, dynorphin, proenkephalin, pentapeptide repeat, endorphins, proopiomelanocortin"
F. Gómez-Lagunas,"silver nanoparticle, ptpn22, genome-wide association study, zeta potential"
A. Nasereddin,"silver nanoparticle, zeta potential"
Chia-Yen Chen,"silver nanoparticle, atom-transfer radical-polymerization, zeta potential"
Xiaofeng Gao,"internet layer, conventional memory, protocol stack, network virtualization, service layer, point of interest, forwarding plane, rss, dram, application layer, memory map"
Pramod Bhatotia,"internet layer, protocol stack, network virtualization, service layer, forwarding plane, application layer"
Ramakrishna Dantu,"internet layer, protocol stack, network virtualization, service layer, forwarding plane, application layer"
Evan M F Shepherdson,"public security, cloud storage"
G. Rogler,"public security, cloud storage"
Michael Schubert,"public security, cloud storage"
Jiacheng Zheng,"lernaean hydra, antibody repertoire, immunoglobulin heavy chain, ighv@, umami, breast carcinoma, taste receptor, kegg, pseudogene"
A. Choudhury,"lernaean hydra, umami, taste receptor, pseudogene"
Sara Chiappalupi,"lernaean hydra, umami, taste receptor, pseudogene"
C. Chakraborty,"icd-10, decentralised system, distributed learning, medical classification, electronic health record, diagnosis code, concordance, biorepository"
A. Hina,"icd-10, medical classification, genetic screen, guide rna, crispr interference, electronic health record, diagnosis code, concordance, biorepository"
Yanhong Zhou,"brown algae, memory b cell, causes of cancer, cancer prevention"
T. Sweeney,"brown algae, causes of cancer, cancer prevention"
A. Delmer,"brown algae, causes of cancer, cancer prevention"
D. Seker,"insular cortex, posterior cingulate, data processing, stream processing, big data, ventromedial prefrontal cortex, dorsolateral prefrontal cortex, ventral striatum, intertemporal choice, minification"
Ravi Gupta,"insular cortex, posterior cingulate, ventromedial prefrontal cortex, dorsolateral prefrontal cortex, ventral striatum, intertemporal choice"
Xin Zhang,"insular cortex, posterior cingulate, disease, ventromedial prefrontal cortex, dorsolateral prefrontal cortex, ventral striatum, intertemporal choice"
A. Morgat,"situation analysis, soap, information sensitivity, wearable technology, data sharing, big data, vulnerability, situation awareness, spillover effect, differential privacy, privacy software, security analysis, k-anonymity, human virome"
Carlos Cacciuttolo,"situation analysis, vulnerability, situation awareness, spatial query, space partitioning"
P. Hatzis,"epicardial adipose tissue, metabolic equivalent, epicardial fat, sensation"
B. Seelig,"epicardial adipose tissue, intestinal metaplasia, epicardial fat, foveolar cell, atrophic gastritis, diagnosis, pandemic, 2019-20 coronavirus outbreak, cell membrane, lytic cycle"
Manoj-Kumar Arthikala,"substance dependence, genome-wide association study, genetic architecture"
Peter V. Treit,"substance dependence, genome-wide association study, genetic architecture"
I. Seguro,"substance dependence, signature (topology), genome-wide association study, genetic architecture"
Shuqiang Huang,"tying, monocular"
Wenjuan Li,"tying, monocular, home automation"
I. Zualkernan,"tying, monocular"
Rashid Abbasi,"lymphovascular invasion, mining, rdf query language, association (psychology), overfitting"
Divya Khattar,"lymphovascular invasion, health, epigenome, epigenetic therapy, regenerative medicine"
Janice Gabrilove,lymphovascular invasion
Bolong Zheng,"genetic code, semiosis, out-of-core algorithm, packet loss, leverage (statistics), storage efficiency"
S. Klarenbach,"antibiotic therapy, procalcitonin"
S. McCracken,"antibiotic therapy, procalcitonin"
R. McGarrah,"antibiotic therapy, diagnosis, pandemic, pathogenesis, coronavirus, procalcitonin"
Xiao Yan,"earth system science, digital earth, implementation, earth observation, raster data"
Quanquan Gu,"earth system science, digital earth, implementation, earth observation, raster data"
J. Stefani,"earth system science, topological sorting, flagellin, digital earth, nosql, state of art, big data, implementation, earth observation, gene cluster, plant immunity, pooling, raster data"
Sihai Zhang,"operand, nitrogen deficiency, data integrity, data security, cloud storage, identification, representation, ovarian reserve, dynamic data, nitrogen cycle, similarity (geometry), big data, data analysis, predictive analytics, dependency graph, abstraction, granularity, code (set theory), metabolic pathway, commit"
A. Bouguettaya,"operand, differential evolution, abstraction, secure two-party computation"
Hamid Noori,"operand, haystack, vulnerability management, vulnerability, mining, python, abstraction, commit"
Tomoko Hasegawa,magnesium deficiency (plants)
Q. Lin,magnesium deficiency (plants)
A. Bergougnoux,magnesium deficiency (plants)
A. Contreras-Paredes,"kidney disorder, genomic, modality (human–computer interaction)"
S. Wettig,"kidney disorder, promotion (chess), genomic, human genetics, modality (human–computer interaction)"
Z. Ye,"kidney disorder, genomic, modality (human–computer interaction)"
Weiyuan Zhang,organic reaction
B. Bartolini,organic reaction
S. Yeh,organic reaction
N. Engedal,"horseshoe crab, isolation"
Richa Jain,"horseshoe crab, isolation, genome-wide association study, association (psychology), genetic association, genetic architecture"
Hui-Min Wang,"horseshoe crab, isolation"
T. Shih,"met-enkephalin, leu-enkephalin, opiate receptors, heptad repeat, medulla, coronavirus, furin"
Ashok Sharma,"met-enkephalin, leu-enkephalin, opiate receptors, chalcone, medulla, furan, monoamine oxidase b, ic50"
G. D. De Iuliis,"met-enkephalin, leu-enkephalin, opiate receptors, medulla"
Behnam Noorani,"thyroglobulin, molecular, bovine serum albumin"
Kairui Yue,"thyroglobulin, genomic, molecular, bovine serum albumin, genomic information, health professionals"
T. Anastasiadis,"geometric transformation, feature (linguistics), image translation, image registration"
Stefan Windmann,"geometric transformation, feature (linguistics), image translation, image registration, matrix (chemical analysis), low-rank approximation, rank (graph theory), matrix completion, simplicity"
Sangjoon Park,"geometric transformation, secure transmission, feature (linguistics), image translation, image registration, big data"
C. Ruppert,centralized database
A. Jacob,"centralized database, resistome, genome, minion"
P. Silveira,"fungal pathogen, public health interventions, model organism"
Nengcheng Chen,"fungal pathogen, romidepsin, public health interventions, emerging technologies, overdiagnosis, distributed ledger, vorinostat, model organism"
Rashmi Ravichandran,"fungal pathogen, water activity, erythritol, public health interventions, molecular descriptor, model organism"
Hantao Zhao,"complete-linkage clustering, scope (computer science), centroid"
Farrokh Mehryary,"complete-linkage clustering, centroid"
Dianlong You,"complete-linkage clustering, common variable immunodeficiency, disease, health, centroid"
Badong Chen,"elliptical distribution, topological map, continuation, grid reference, global map, model predictive control, big data, degree (music), edge device, computation offloading"
Yi-Chung Hu,"elliptical distribution, continuation, degree (music)"
S. Yiu,"one-way quantum computer, representation, high memory, clustering high-dimensional data, data stream clustering, memory bandwidth"
L. Cacha,"one-way quantum computer, semantic heterogeneity, high memory, big data, distributed file system, information integration, data grid, health, memory bandwidth, code (set theory)"
Damla Senol Cali,"one-way quantum computer, high memory, memory bandwidth"
Jia Wang,"forkhead transcription factors, xiphophorus, sox10, melanocyte, microphthalmia-associated transcription factor"
S. Rahman,"forkhead transcription factors, xiphophorus, sox10, melanocyte, microphthalmia-associated transcription factor"
S. Mühlhausen,"maximum principle, homotopy perturbation method, stability theory, basic reproduction number, epidemic model"
